path,title,image,description,lastModified
/,About DDT | Services | Digital transformation,/media_174e3e1a2ea13297a33d07d684a725d4cbbe7b902.png?width=1200&format=pjpg&optimize=medium,"Meet Tom Cranstoun and Digital Domain Technologies (DDT), your go-to experts for AEM consulting. With many years of experience, Tom, ""The AEM Guy,"" leads a team offering tailored AEM solutions, including architecture, technical guidance, and innovation roadmapping.",1765370665
/blogs/adobe-franklin-revolutionizing-content-management,Adobe EDS: Revolutionising Content Management,/blogs/media_137bdc1688d0b50d1451b0e0d519319a94bb0314d.jpeg?width=1200&format=pjpg&optimize=medium,"In digital publishing, the quest for the ideal content management system (CMS) is ongoing. Subject Matter Experts create original content with word processors and spreadsheets, ...",1731000353
/blogs/ddt/a-guide-to-ai-optimization-an-update,A guide to AI Optimization - an update,/blogs/ddt/media_15d4fcac3b0b1239c4145ac45d6b216c6f39a8bb9.png?width=1200&format=pjpg&optimize=medium,An article describing updates in AI Optimization,1732106061
/blogs/ddt/a-managers-guide-to-document-authoring-with-edge-delivery-services,A manager’s guide to Document Authoring with Edge Delivery Services,/blogs/ddt/media_13cd1a6707e9b077826a405fed46b2f3c60bbae7a.jpg?width=1200&format=pjpg&optimize=medium,A web page describing how Edge Delivery Services works,1749485310
/blogs/ddt/adobe-eds-revolutionizing-content-management,Adobe EDS: Revolutionising Content Management,/blogs/ddt/media_137bdc1688d0b50d1451b0e0d519319a94bb0314d.jpg?width=1200&format=pjpg&optimize=medium,"In digital publishing, the quest for the ideal content management system (CMS) is ongoing. Content Authors actually dislike CMS systems. The Content team receives original ...",1749485310
/blogs/ddt/aem-development-with-ai,AEMaaCS Development with AI: My Journey with Cline,,I'm sharing an exciting development that's transforming how I approach development as a non-traditional AEM developer.,1731345459
/blogs/ddt/ai-generated-code,AI-Generated Code,/blogs/ddt/media_107ec17c46e9e61d881724559b7c8ff7d5ff53982.png?width=1200&format=pjpg&optimize=medium,This is AI-generated code from a one-shot prompt,1725541413
/blogs/ddt/ai-powered-development,AI-Powered Development,/blogs/ddt/media_1072b12c4580da4057cdc38d91cc2ecfb636072d6.png?width=1200&format=pjpg&optimize=medium,An article explaining a recent presentation,1726514002
/blogs/ddt/building-the-ai-native-web-with-eds,"Building the AI-Native Web with EDS, llms.txt",/default-meta-image.png?width=1200&format=pjpg&optimize=medium,"Jeremy Howard's llms.txt is a proposed standard https://llmstxt.org/#proposal for helping LLMs understand and work with websites and new software at inference time, particularly for projects/tools ...",1732735947
/blogs/ddt/code-expander-block-showcase,Code Expander Block Demo,/blogs/ddt/media_1172203b3684b403431c8a40d8cf69c6aceccca69.png?width=1200&format=pjpg&optimize=medium,A demonstration of the Code Expander block functionality,1727091669
/blogs/ddt/content-creator-guide-to-document-authoring-with-edge-delivery-services,A Content Creator’s Guide to Document Authoring with Edge Delivery Services - Part 1,/blogs/ddt/media_1288801a9d177d7c1918ae0ac4021c87d1940b97c.png?width=1200&format=pjpg&optimize=medium,This tutorial will guide you through creating a page full of content that engages. An ongoing series for authors,1719430788
/blogs/ddt/content-creator-guide-to-document-authoring-with-edge-delivery-services-part-2,A Content Creator’s Guide to Document Authoring with Edge Delivery Services - Part 2,/blogs/ddt/media_105e442bc7ae4a76650cab7f6bb47416a5e3ea389.png?width=1200&format=pjpg&optimize=medium,This tutorial will guide you through creating a page full of content that engages. An ongoing series for authors,1721906787
/blogs/ddt/content-creator-guide-to-document-authoring-with-edge-delivery-services-part-3,A Content Creator’s Guide to Document Authoring with Edge Delivery Services - Part 3,/blogs/ddt/media_17a147706e8f8e77691492099115c1645e10695a3.png?width=1200&format=pjpg&optimize=medium,This tutorial will guide you through creating a page full of content that engages. An ongoing series for authors,1725796192
/blogs/ddt/developer-guide-to-document-authoring-with-edge-delivery-services-part-0,Developer Guide to Document Authoring with Edge Delivery Services - Part 0,/blogs/ddt/media_179bbd2158f9fa3a6a53bca48d55b8a13bf8e0dcc.png?width=1200&format=pjpg&optimize=medium,This tutorial will guide you through Document Authoring with Adobe Edge Delivery Services. This is an introduction. An ongoing series for developers,1725221604
/blogs/ddt/developer-guide-to-document-authoring-with-edge-delivery-services-part-1,Developer Guide to Document Authoring with Edge Delivery Services - Part 1,/blogs/ddt/media_1d9d96b6449d96d62d720eff7f57510e5b4498d30.png?width=1200&format=pjpg&optimize=medium,"This tutorial will guide you through creating your blocks and amending the HTML provided by Edge Delivery Services to ensure that the page has the look and feel you need, with coding examples. An ongoing series for developers",1725221651
/blogs/ddt/developer-guide-to-document-authoring-with-edge-delivery-services-part-10,Developer Guide to Document Authoring with Edge Delivery Services - Part 10,/blogs/ddt/media_13a9b98de74fe78c8590f31129df2920433f1497f.png?width=1200&format=pjpg&optimize=medium,"Using AI to provide Coding, Review, Documentation, and more",1726943694
/blogs/ddt/developer-guide-to-document-authoring-with-edge-delivery-services-part-11,Developer Guide to Document Authoring with Edge Delivery Services - Part 11,/blogs/ddt/media_10755f6efe9a630f09468903ca8136b6fa26985fd.png?width=1200&format=pjpg&optimize=medium,"Getting AI to document your output., Review its Code, using Cursor, Review its Code, using EDS prompt, Review its Code as a Senior Dev Review its Prompt.",1727813241
/blogs/ddt/developer-guide-to-document-authoring-with-edge-delivery-services-part-2,Developer Guide to Document Authoring with Edge Delivery Services - Part 2,/blogs/ddt/media_19fa2d4025f84bfe045a403f243ea856581a8e274.png?width=1200&format=pjpg&optimize=medium,"This tutorial will guide you through creating your blocks and amending the HTML provided by Edge Delivery Services to ensure that the page has the look and feel you need, with coding examples. Part 2 covers fragments and has more  metadata detail",1725221729
/blogs/ddt/developer-guide-to-document-authoring-with-edge-delivery-services-part-3,Developer Guide to Document Authoring with Edge Delivery Services - Part 3,/blogs/ddt/media_1be6266d75f1dfe4f548567f03126997023212f31.png?width=1200&format=pjpg&optimize=medium,This tutorial will guide you through the use of spreadsheets in Document Authoring with Edge Delivery Services.,1725221795
/blogs/ddt/developer-guide-to-document-authoring-with-edge-delivery-services-part-4,Developer Guide to Document Authoring with Edge Delivery Services - Part 4,/blogs/ddt/media_1ef226910ab0f6223b29f73f09a8a22480c557fe7.png?width=1200&format=pjpg&optimize=medium,"This tutorial will guide you through the use of Document Authoring with Edge Delivery Services, creating a SPA App.",1725221843
/blogs/ddt/developer-guide-to-document-authoring-with-edge-delivery-services-part-5,Developer Guide to Document Authoring with Edge Delivery Services - Part 5,/blogs/ddt/media_16570a6e0424a32e57fa85efdbbda3c2c3533e303.png?width=1200&format=pjpg&optimize=medium,This tutorial will guide you through the use of Document Authoring with Edge Delivery Services. To create a React App that works with Edge Delivery Services,1725221887
/blogs/ddt/developer-guide-to-document-authoring-with-edge-delivery-services-part-6,Developer Guide to Document Authoring with Edge Delivery Services - Part 6,/blogs/ddt/media_1bcacddad23dbcdc82f54c37352ea624f06fc87ee.png?width=1200&format=pjpg&optimize=medium,This tutorial will guide you through Document Authoring with Edge Delivery Services. Working with Json files and GitHub,1725221935
